territory,period,unemployment_rate
Brasil,jan-fev-mar 2012,8.0
Brasil,fev-mar-abr 2012,7.8
Brasil,mar-abr-mai 2012,7.7
Brasil,abr-mai-jun 2012,7.6
Brasil,mai-jun-jul 2012,7.5
Brasil,jun-jul-ago 2012,7.3
Brasil,jul-ago-set 2012,7.1
Brasil,ago-set-out 2012,6.9
Brasil,set-out-nov 2012,6.8
Brasil,out-nov-dez 2012,6.9
Brasil,nov-dez-jan 2013,7.2
Brasil,dez-jan-fev 2013,7.8
Brasil,jan-fev-mar 2013,8.0
Brasil,fev-mar-abr 2013,7.9
Brasil,mar-abr-mai 2013,7.6
Brasil,abr-mai-jun 2013,7.5
Brasil,mai-jun-jul 2013,7.4
Brasil,jun-jul-ago 2013,7.2
Brasil,jul-ago-set 2013,7.0
Brasil,ago-set-out 2013,6.8
Brasil,set-out-nov 2013,6.5
Brasil,out-nov-dez 2013,6.2
Brasil,nov-dez-jan 2014,6.5
Brasil,dez-jan-fev 2014,6.8
Brasil,jan-fev-mar 2014,7.2
Brasil,fev-mar-abr 2014,7.2
Brasil,mar-abr-mai 2014,7.0
Brasil,abr-mai-jun 2014,6.9
Brasil,mai-jun-jul 2014,7.0
Brasil,jun-jul-ago 2014,7.0
Brasil,jul-ago-set 2014,6.8
Brasil,ago-set-out 2014,6.7
Brasil,set-out-nov 2014,6.6
Brasil,out-nov-dez 2014,6.6
Brasil,nov-dez-jan 2015,6.9
Brasil,dez-jan-fev 2015,7.5
Brasil,jan-fev-mar 2015,8.0
Brasil,fev-mar-abr 2015,8.1
Brasil,mar-abr-mai 2015,8.2
Brasil,abr-mai-jun 2015,8.4
Brasil,mai-jun-jul 2015,8.6
Brasil,jun-jul-ago 2015,8.8
Brasil,jul-ago-set 2015,9.0
Brasil,ago-set-out 2015,9.1
Brasil,set-out-nov 2015,9.1
Brasil,out-nov-dez 2015,9.1
Brasil,nov-dez-jan 2016,9.6
Brasil,dez-jan-fev 2016,10.3
Brasil,jan-fev-mar 2016,11.0
Brasil,fev-mar-abr 2016,11.3
Brasil,mar-abr-mai 2016,11.3
Brasil,abr-mai-jun 2016,11.4
Brasil,mai-jun-jul 2016,11.7
Brasil,jun-jul-ago 2016,11.9
Brasil,jul-ago-set 2016,11.9
Brasil,ago-set-out 2016,11.9
Brasil,set-out-nov 2016,12.0
Brasil,out-nov-dez 2016,12.1
Brasil,nov-dez-jan 2017,12.7
Brasil,dez-jan-fev 2017,13.3
Brasil,jan-fev-mar 2017,13.9
Brasil,fev-mar-abr 2017,13.7
Brasil,mar-abr-mai 2017,13.4
Brasil,abr-mai-jun 2017,13.1
Brasil,mai-jun-jul 2017,12.9
Brasil,jun-jul-ago 2017,12.7
Brasil,jul-ago-set 2017,12.5
Brasil,ago-set-out 2017,12.3
Brasil,set-out-nov 2017,12.1
Brasil,out-nov-dez 2017,11.9
Brasil,nov-dez-jan 2018,12.3
Brasil,dez-jan-fev 2018,12.7
Brasil,jan-fev-mar 2018,13.2
Brasil,fev-mar-abr 2018,13.0
Brasil,mar-abr-mai 2018,12.8
Brasil,abr-mai-jun 2018,12.6
Brasil,mai-jun-jul 2018,12.4
Brasil,jun-jul-ago 2018,12.2
Brasil,jul-ago-set 2018,12.0
Brasil,ago-set-out 2018,11.8
Brasil,set-out-nov 2018,11.7
Brasil,out-nov-dez 2018,11.7
Brasil,nov-dez-jan 2019,12.2
Brasil,dez-jan-fev 2019,12.5
Brasil,jan-fev-mar 2019,12.8
Brasil,fev-mar-abr 2019,12.6
Brasil,mar-abr-mai 2019,12.4
Brasil,abr-mai-jun 2019,12.1
Brasil,mai-jun-jul 2019,11.9
Brasil,jun-jul-ago 2019,11.9
Brasil,jul-ago-set 2019,11.9
Brasil,ago-set-out 2019,11.7
Brasil,set-out-nov 2019,11.3
Brasil,out-nov-dez 2019,11.1
Brasil,nov-dez-jan 2020,11.3
Brasil,dez-jan-fev 2020,11.7
Brasil,jan-fev-mar 2020,12.4
Brasil,fev-mar-abr 2020,12.7
Brasil,mar-abr-mai 2020,13.1
Brasil,abr-mai-jun 2020,13.6
Brasil,mai-jun-jul 2020,14.1
Brasil,jun-jul-ago 2020,14.8
Brasil,jul-ago-set 2020,14.9
Brasil,ago-set-out 2020,14.6
Brasil,set-out-nov 2020,14.3
Brasil,out-nov-dez 2020,14.2
Brasil,nov-dez-jan 2021,14.4
Brasil,dez-jan-fev 2021,14.6
Brasil,jan-fev-mar 2021,14.9
Brasil,fev-mar-abr 2021,14.8
Brasil,mar-abr-mai 2021,14.7
Brasil,abr-mai-jun 2021,14.2
Brasil,mai-jun-jul 2021,13.7
Brasil,jun-jul-ago 2021,13.2
Brasil,jul-ago-set 2021,12.7
Brasil,ago-set-out 2021,12.1
Brasil,set-out-nov 2021,11.6
Brasil,out-nov-dez 2021,11.1
Brasil,nov-dez-jan 2022,11.2
Brasil,dez-jan-fev 2022,11.2
Brasil,jan-fev-mar 2022,11.1
Brasil,fev-mar-abr 2022,10.5
Brasil,mar-abr-mai 2022,9.8
Brasil,abr-mai-jun 2022,9.3
Brasil,mai-jun-jul 2022,9.1
Brasil,jun-jul-ago 2022,8.9
Brasil,jul-ago-set 2022,8.7
Brasil,ago-set-out 2022,8.3
Brasil,set-out-nov 2022,8.1
Brasil,out-nov-dez 2022,7.9
Brasil,nov-dez-jan 2023,8.4
Brasil,dez-jan-fev 2023,8.6
Brasil,jan-fev-mar 2023,8.8
Brasil,fev-mar-abr 2023,8.5
Brasil,mar-abr-mai 2023,8.3
Brasil,abr-mai-jun 2023,8.0
Brasil,mai-jun-jul 2023,7.9
Brasil,jun-jul-ago 2023,7.8
Brasil,jul-ago-set 2023,7.7
Brasil,ago-set-out 2023,7.6
Brasil,set-out-nov 2023,7.5
Brasil,out-nov-dez 2023,7.4
Brasil,nov-dez-jan 2024,7.6
Brasil,dez-jan-fev 2024,7.8
Brasil,jan-fev-mar 2024,7.9
Brasil,fev-mar-abr 2024,7.5
Brasil,mar-abr-mai 2024,7.1
Brasil,abr-mai-jun 2024,6.9
Brasil,mai-jun-jul 2024,6.8
Brasil,jun-jul-ago 2024,6.6
Brasil,jul-ago-set 2024,6.4
Brasil,ago-set-out 2024,6.2
Brasil,set-out-nov 2024,6.1
Brasil,out-nov-dez 2024,6.2
Brasil,nov-dez-jan 2025,6.5
Brasil,dez-jan-fev 2025,6.8
Brasil,jan-fev-mar 2025,7.0
Brasil,fev-mar-abr 2025,6.6
Brasil,mar-abr-mai 2025,6.2
Brasil,abr-mai-jun 2025,5.8
Brasil,mai-jun-jul 2025,5.6
Brasil,jun-jul-ago 2025,5.6
Brasil,jul-ago-set 2025,5.6
Brasil,ago-set-out 2025,5.4
Brasil,set-out-nov 2025,5.2
